month,iconic_taxon_name,n_obs
2024-09,Fungi,37
2024-09,Insecta,536
2024-09,Mammalia,99
2024-09,Mollusca,3
2024-09,Plantae,675
2024-09,Reptilia,120
2024-10,Actinopterygii,4
2024-10,Amphibia,25
2024-10,Animalia,14
2024-10,Arachnida,126
2024-10,Aves,530
2024-10,Fungi,34
2024-10,Insecta,393
2024-10,Mammalia,91
2024-10,Mollusca,12
2024-10,Plantae,531
2024-10,Reptilia,75
2024-11,Amphibia,5
2024-11,Animalia,2
2024-11,Arachnida,47
2024-11,Aves,552
2024-11,Fungi,8
2024-11,Insecta,113
2024-11,Mammalia,76
2024-11,Mollusca,6
2024-11,Plantae,417
2024-11,Reptilia,56
2024-12,Actinopterygii,4
2024-12,Amphibia,14
2024-12,Animalia,6
2024-12,Arachnida,27
2024-12,Aves,871
2024-12,Fungi,21
2024-12,Insecta,148
2024-12,Mammalia,63
2024-12,Mollusca,1
2024-12,Plantae,504
2024-12,Reptilia,31
2025-01,Amphibia,3
2025-01,Animalia,1
2025-01,Arachnida,16
2025-01,Aves,534
2025-01,Fungi,9
2025-01,Insecta,113
2025-01,Mammalia,68
2025-01,Mollusca,5
2025-01,Plantae,390
2025-01,Reptilia,25
2025-02,Actinopterygii,2
2025-02,Amphibia,8
2025-02,Animalia,10
2025-02,Arachnida,16
2025-02,Aves,725
2025-02,Fungi,29
2025-02,Insecta,133
2025-02,Mammalia,70
2025-02,Mollusca,17
2025-02,Plantae,261
2025-02,Protozoa,2
2025-02,Reptilia,77
2025-03,Actinopterygii,3
2025-03,Amphibia,20
2025-03,Animalia,16
2025-03,Arachnida,33
2025-03,Aves,918
2025-03,Fungi,35
2025-03,Insecta,206
2025-03,Mammalia,104
2025-03,Mollusca,23
2025-03,Plantae,652
2025-03,Protozoa,2
2025-03,Reptilia,110
2025-04,Actinopterygii,3
2025-04,Amphibia,34
2025-04,Animalia,50
2025-04,Arachnida,56
2025-04,Aves,1061
2025-04,Fungi,10
2025-04,Insecta,486
2025-04,Mammalia,204
2025-04,Mollusca,27
2025-04,Plantae,1044
2025-04,Protozoa,2
2025-04,Reptilia,168
2025-05,Actinopterygii,5
2025-05,Amphibia,37
2025-05,Animalia,16
2025-05,Arachnida,46
2025-05,Aves,679
2025-05,Fungi,33
2025-05,Insecta,310
2025-05,Mammalia,111
2025-05,Mollusca,8
2025-05,Plantae,735
2025-05,Protozoa,4
2025-05,Reptilia,156
2025-06,Actinopterygii,10
2025-06,Amphibia,49
2025-06,Animalia,16
2025-06,Arachnida,40
2025-06,Aves,671
2025-06,Fungi,12
2025-06,Insecta,478
2025-06,Mammalia,118
2025-06,Mollusca,6
2025-06,Plantae,785
2025-06,Protozoa,1
2025-06,Reptilia,154
2025-07,Actinopterygii,9
2025-07,Amphibia,28
2025-07,Animalia,9
2025-07,Arachnida,47
2025-07,Aves,542
2025-07,Fungi,9
2025-07,Insecta,591
2025-07,Mammalia,112
2025-07,Mollusca,7
2025-07,Plantae,452
2025-07,Protozoa,2
2025-07,Reptilia,117
2025-08,Actinopterygii,7
2025-08,Amphibia,31
2025-08,Animalia,12
2025-08,Arachnida,80
2025-08,Aves,531
2025-08,Fungi,16
2025-08,Insecta,624
2025-08,Mammalia,140
2025-08,Mollusca,2
2025-08,Plantae,464
2025-08,Protozoa,1
2025-08,Reptilia,157
2025-09,Amphibia,41
2025-09,Animalia,10
2025-09,Arachnida,64
2025-09,Aves,457
2025-09,Fungi,23
2025-09,Insecta,424
2025-09,Mammalia,88
2025-09,Mollusca,5
2025-09,Plantae,516
2025-09,Protozoa,3
2025-09,Reptilia,102
2025-10,Actinopterygii,4
2025-10,Amphibia,13
2025-10,Animalia,7
2025-10,Arachnida,89
2025-10,Aves,584
2025-10,Fungi,33
2025-10,Insecta,335
2025-10,Mammalia,102
2025-10,Mollusca,9
2025-10,Plantae,484
2025-10,Reptilia,88
2025-11,Actinopterygii,4
2025-11,Amphibia,6
2025-11,Animalia,10
2025-11,Arachnida,56
2025-11,Aves,658
2025-11,Fungi,115
2025-11,Insecta,210
2025-11,Mammalia,85
2025-11,Mollusca,16
2025-11,Plantae,498
2025-11,Protozoa,12
2025-11,Reptilia,50
2025-12,Amphibia,9
2025-12,Animalia,12
2025-12,Arachnida,35
2025-12,Aves,857
2025-12,Fungi,110
2025-12,Insecta,123
2025-12,Mammalia,52
2025-12,Mollusca,16
2025-12,Plantae,389
2025-12,Protozoa,3
2025-12,Reptilia,22
2026-01,Actinopterygii,1
2026-01,Amphibia,21
2026-01,Animalia,20
2026-01,Arachnida,40
2026-01,Aves,1014
2026-01,Fungi,140
2026-01,Insecta,221
2026-01,Mammalia,97
2026-01,Mollusca,65
2026-01,Plantae,637
2026-01,Protozoa,9
2026-01,Reptilia,50
